Date,Time,Place,Crowd_Count (in Thousands),Weather,Day_of_Week,Holiday,Event,Temperature (�C),Week_of_Year,Special_Features,Region,Transportation_Type
20-01-2024,21:00:00,"Mecca Masjid, Hyderabad",6853,Cloudy,Saturday,No,Regular Day,38,2,N/A,Central,Private
21-01-2024,19:57:00,"Varanasi Ghats, Varanasi",28764,Rainy,Sunday,No,Festival,25,3,N/A,South,Public
22-01-2024,06:15:00,"Qutub Minar, Delhi",10000,Clear,Monday,No,Regular Day,30,3,N/A,South,Private
23-01-2024,11:18:00,"Red Fort, Delhi",20416,Cloudy,Tuesday,No,Festival,38,3,N/A,East,Public
24-01-2024,22:31:00,"Mecca Masjid, Hyderabad",8078,Sunny,Wednesday,No,Festival,27,3,N/A,East,Walking
25-01-2024,10:21:00,"Red Fort, Delhi",21738,Rainy,Thursday,Yes,Festival,38,3,National Holiday,West,Private
26-01-2024,21:04:00,"Red Fort, Delhi",9483,Sunny,Friday,Yes,Regular Day,34,3,National Holiday,South,Walking
27-01-2024,10:51:00,"Qutub Minar, Delhi",22592,Rainy,Saturday,No,Festival,22,3,N/A,North,Private
28-01-2024,19:27:00,"Gateway of India, Mumbai",19895,Clear,Sunday,No,Regular Day,34,4,N/A,South,Public
29-01-2024,23:12:00,"Mecca Masjid, Hyderabad",500,Rainy,Monday,No,Cultural Event,37,4,N/A,West,Public
30-01-2024,05:08:00,"Taj Mahal, Agra",18099,Rainy,Tuesday,No,Cultural Event,32,4,N/A,East,Walking
31-01-2024,03:57:00,"Sanchi Stupa, Madhya Pradesh",14198,Rainy,Wednesday,No,National Holiday,24,4,N/A,West,Public
01-02-2024,10:41:00,"India Gate, Delhi",30000,Sunny,Thursday,No,Cultural Event,36,4,N/A,North,Private
02-02-2024,19:02:00,"Qutub Minar, Delhi",23806,Clear,Friday,No,National Holiday,36,4,N/A,Central,Private
03-02-2024,16:34:00,"Mecca Masjid, Hyderabad",5952,Cloudy,Saturday,No,Regular Day,36,4,N/A,West,Private
04-02-2024,11:35:00,"Gateway of India, Mumbai",16772,Rainy,Sunday,No,Cultural Event,24,5,N/A,North,Private
05-02-2024,03:41:00,"India Gate, Delhi",30000,Clear,Monday,No,Cultural Event,32,5,N/A,Central,Private
06-02-2024,05:06:00,"India Gate, Delhi",30000,Sunny,Tuesday,No,Cultural Event,22,5,N/A,West,Walking
07-02-2024,07:56:00,"Qutub Minar, Delhi",9314,Cloudy,Wednesday,No,Cultural Event,23,5,N/A,West,Walking
08-02-2024,18:11:00,"Sanchi Stupa, Madhya Pradesh",500,Rainy,Thursday,No,Cultural Event,24,5,N/A,West,Walking
09-02-2024,01:01:00,"Varanasi Ghats, Varanasi",8037,Cloudy,Friday,No,Regular Day,31,5,N/A,West,Walking
10-02-2024,10:38:00,"Varanasi Ghats, Varanasi",14699,Sunny,Saturday,No,Regular Day,25,5,N/A,North,Walking
11-02-2024,13:52:00,"Red Fort, Delhi",17712,Sunny,Sunday,No,National Holiday,36,6,N/A,East,Public
12-02-2024,01:10:00,"Taj Mahal, Agra",18565,Rainy,Monday,No,Cultural Event,36,6,N/A,East,Public
13-02-2024,08:21:00,"Varanasi Ghats, Varanasi",8227,Cloudy,Tuesday,No,Regular Day,29,6,N/A,West,Private
14-02-2024,14:22:00,"Red Fort, Delhi",9313,Rainy,Wednesday,Yes,Cultural Event,34,6,National Holiday,South,Walking
15-02-2024,01:25:00,"Mecca Masjid, Hyderabad",21990,Clear,Thursday,No,National Holiday,20,6,N/A,Central,Private
16-02-2024,13:02:00,"Taj Mahal, Agra",29817,Clear,Friday,No,National Holiday,20,6,N/A,South,Private
17-02-2024,05:57:00,"India Gate, Delhi",29938,Rainy,Saturday,No,Regular Day,29,6,N/A,Central,Private
18-02-2024,12:44:00,"Red Fort, Delhi",26253,Rainy,Sunday,No,National Holiday,38,7,N/A,Central,Walking
19-02-2024,00:18:00,"Sanchi Stupa, Madhya Pradesh",20892,Cloudy,Monday,Yes,National Holiday,26,7,National Holiday,Central,Walking
20-02-2024,05:15:00,"India Gate, Delhi",40972,Rainy,Tuesday,No,National Holiday,34,7,N/A,South,Walking
21-02-2024,12:02:00,"Taj Mahal, Agra",20000,Clear,Wednesday,No,Cultural Event,27,7,N/A,East,Private
22-02-2024,21:17:00,"Taj Mahal, Agra",28670,Clear,Thursday,No,Festival,37,7,N/A,East,Public
23-02-2024,02:08:00,"Mecca Masjid, Hyderabad",6071,Rainy,Friday,No,National Holiday,28,7,N/A,Central,Public
24-02-2024,03:47:00,"Qutub Minar, Delhi",23319,Clear,Saturday,Yes,Festival,26,7,National Holiday,East,Walking
25-02-2024,13:25:00,"Mecca Masjid, Hyderabad",1948,Rainy,Sunday,No,Cultural Event,35,8,N/A,West,Private
26-02-2024,04:06:00,"Gateway of India, Mumbai",15000,Clear,Monday,No,Cultural Event,30,8,N/A,North,Walking
27-02-2024,14:14:00,"Red Fort, Delhi",25135,Cloudy,Tuesday,No,National Holiday,26,8,N/A,West,Private
28-02-2024,02:00:00,"Qutub Minar, Delhi",16028,Cloudy,Wednesday,No,National Holiday,34,8,N/A,North,Walking
29-02-2024,01:31:00,"Qutub Minar, Delhi",19954,Cloudy,Thursday,No,National Holiday,39,8,N/A,North,Private
01-03-2024,14:44:00,"Sanchi Stupa, Madhya Pradesh",20639,Cloudy,Friday,No,Festival,31,8,N/A,Central,Private
02-03-2024,15:47:00,"India Gate, Delhi",48259,Cloudy,Saturday,No,Festival,34,8,N/A,South,Walking
03-03-2024,18:49:00,"India Gate, Delhi",43079,Cloudy,Sunday,No,Festival,26,9,N/A,West,Public
04-03-2024,03:00:00,"Varanasi Ghats, Varanasi",20565,Rainy,Monday,No,National Holiday,39,9,N/A,South,Public
05-03-2024,23:17:00,"Gateway of India, Mumbai",27514,Sunny,Tuesday,No,National Holiday,22,9,N/A,South,Walking
06-03-2024,15:40:00,"Gateway of India, Mumbai",29287,Cloudy,Wednesday,Yes,Festival,20,9,National Holiday,East,Public
07-03-2024,20:08:00,"India Gate, Delhi",30000,Sunny,Thursday,No,Cultural Event,39,9,N/A,North,Public
08-03-2024,17:24:00,"Mecca Masjid, Hyderabad",20432,Clear,Friday,Yes,National Holiday,34,9,National Holiday,North,Private
09-03-2024,22:55:00,"Mecca Masjid, Hyderabad",17649,Rainy,Saturday,No,Festival,35,9,N/A,North,Private
10-03-2024,09:44:00,"Gateway of India, Mumbai",15773,Cloudy,Sunday,No,Cultural Event,27,10,N/A,South,Private
11-03-2024,23:37:00,"India Gate, Delhi",28909,Rainy,Monday,No,Regular Day,29,10,N/A,South,Walking
12-03-2024,13:35:00,"Taj Mahal, Agra",25524,Rainy,Tuesday,No,Festival,36,10,N/A,Central,Walking
13-03-2024,17:07:00,"Qutub Minar, Delhi",14681,Cloudy,Wednesday,No,Festival,33,10,N/A,East,Public
14-03-2024,05:33:00,"Sanchi Stupa, Madhya Pradesh",20904,Sunny,Thursday,No,National Holiday,30,10,N/A,West,Private
15-03-2024,17:40:00,"Varanasi Ghats, Varanasi",27197,Clear,Friday,No,Festival,22,10,N/A,South,Private
16-03-2024,07:07:00,"Gateway of India, Mumbai",19212,Clear,Saturday,No,Cultural Event,20,10,N/A,East,Walking
17-03-2024,12:36:00,"India Gate, Delhi",29128,Clear,Sunday,No,Cultural Event,31,11,N/A,West,Public
18-03-2024,23:28:00,"Taj Mahal, Agra",28962,Clear,Monday,No,Festival,32,11,N/A,East,Walking
19-03-2024,06:54:00,"Sanchi Stupa, Madhya Pradesh",9833,Rainy,Tuesday,No,National Holiday,26,11,N/A,South,Public
20-03-2024,15:56:00,"India Gate, Delhi",48128,Clear,Wednesday,No,Festival,33,11,N/A,Central,Private
21-03-2024,04:33:00,"Mecca Masjid, Hyderabad",1811,Cloudy,Thursday,No,Regular Day,25,11,N/A,North,Walking
22-03-2024,15:22:00,"Red Fort, Delhi",3503,Cloudy,Friday,No,Cultural Event,29,11,N/A,South,Public
23-03-2024,18:20:00,"Varanasi Ghats, Varanasi",21821,Clear,Saturday,No,National Holiday,26,11,N/A,West,Public
24-03-2024,00:21:00,"Gateway of India, Mumbai",25805,Clear,Sunday,Yes,National Holiday,21,12,National Holiday,West,Walking
25-03-2024,10:20:00,"Taj Mahal, Agra",34609,Rainy,Monday,Yes,National Holiday,29,12,National Holiday,Central,Public
26-03-2024,20:43:00,"Gateway of India, Mumbai",15000,Sunny,Tuesday,No,Cultural Event,27,12,N/A,West,Public
27-03-2024,20:47:00,"Taj Mahal, Agra",20000,Sunny,Wednesday,No,Regular Day,32,12,N/A,South,Public
28-03-2024,22:14:00,"Taj Mahal, Agra",32538,Sunny,Thursday,No,Festival,24,12,N/A,Central,Walking
29-03-2024,03:39:00,"Mecca Masjid, Hyderabad",6245,Sunny,Friday,Yes,Cultural Event,21,12,National Holiday,South,Walking
30-03-2024,02:43:00,"Taj Mahal, Agra",36878,Cloudy,Saturday,No,Festival,38,12,N/A,North,Public
31-03-2024,14:12:00,"Red Fort, Delhi",8832,Rainy,Sunday,No,Cultural Event,33,13,N/A,North,Walking
01-04-2024,21:17:00,"Varanasi Ghats, Varanasi",6942,Rainy,Monday,No,Cultural Event,33,13,N/A,South,Public
02-04-2024,13:41:00,"Sanchi Stupa, Madhya Pradesh",8953,Clear,Tuesday,No,Festival,37,13,N/A,South,Walking
03-04-2024,10:05:00,"Taj Mahal, Agra",18904,Clear,Wednesday,No,Cultural Event,21,13,N/A,North,Walking
04-04-2024,12:20:00,"Mecca Masjid, Hyderabad",21372,Sunny,Thursday,No,National Holiday,38,13,N/A,East,Walking
05-04-2024,13:05:00,"India Gate, Delhi",33331,Cloudy,Friday,Yes,Regular Day,34,13,National Holiday,East,Private
06-04-2024,08:30:00,"Taj Mahal, Agra",21235,Rainy,Saturday,No,Regular Day,36,13,N/A,North,Public
07-04-2024,19:45:00,"Sanchi Stupa, Madhya Pradesh",3568,Cloudy,Sunday,No,Regular Day,22,14,,East,Public
08-04-2024,11:12:00,"Varanasi Ghats, Varanasi",10000,Clear,Monday,No,Regular Day,32,14,,South,Private
09-04-2024,03:41:00,"Sanchi Stupa, Madhya Pradesh",16833,Cloudy,Tuesday,Yes,Festival,25,14,National Holiday,South,Walking
10-04-2024,13:14:00,"India Gate, Delhi",45453,Cloudy,Wednesday,No,Festival,36,14,N/A,East,Public
11-04-2024,09:07:00,"Taj Mahal, Agra",38249,Clear,Thursday,Yes,Festival,28,14,National Holiday,West,Private
12-04-2024,18:36:00,"Red Fort, Delhi",8000,Clear,Friday,No,Regular Day,34,14,N/A,North,Public
13-04-2024,11:04:00,"Qutub Minar, Delhi",27409,Cloudy,Saturday,Yes,Festival,36,14,National Holiday,East,Public
14-04-2024,09:17:00,"Qutub Minar, Delhi",12251,Cloudy,Sunday,Yes,Cultural Event,37,15,National Holiday,North,Walking
15-04-2024,06:31:00,"Mecca Masjid, Hyderabad",18816,Sunny,Monday,No,National Holiday,20,15,N/A,North,Public
16-04-2024,05:02:00,"Gateway of India, Mumbai",15000,Clear,Tuesday,No,Regular Day,27,15,N/A,North,Walking
17-04-2024,23:03:00,"Qutub Minar, Delhi",21708,Sunny,Wednesday,Yes,Festival,39,15,National Holiday,West,Walking
18-04-2024,13:37:00,"Mecca Masjid, Hyderabad",3000,Clear,Thursday,No,Regular Day,36,15,N/A,Central,Walking
19-04-2024,21:52:00,"Sanchi Stupa, Madhya Pradesh",2000,Sunny,Friday,No,Regular Day,29,15,N/A,West,Public
20-04-2024,11:12:00,"Qutub Minar, Delhi",14381,Cloudy,Saturday,No,National Holiday,38,15,N/A,North,Private
21-04-2024,13:15:00,"Red Fort, Delhi",22434,Rainy,Sunday,Yes,Festival,24,16,National Holiday,South,Walking
22-04-2024,13:09:00,"Red Fort, Delhi",19530,Sunny,Monday,No,Festival,35,16,N/A,North,Public
23-04-2024,04:20:00,"Sanchi Stupa, Madhya Pradesh",10274,Sunny,Tuesday,No,National Holiday,25,16,N/A,South,Private
24-04-2024,02:47:00,"Gateway of India, Mumbai",24104,Sunny,Wednesday,No,Festival,29,16,N/A,North,Private
25-04-2024,11:53:00,"Red Fort, Delhi",5290,Cloudy,Thursday,No,Regular Day,24,16,N/A,North,Walking
26-04-2024,08:54:00,"India Gate, Delhi",24127,Rainy,Friday,No,Cultural Event,20,16,N/A,Central,Walking
27-04-2024,00:22:00,"Qutub Minar, Delhi",14170,Cloudy,Saturday,No,Regular Day,34,16,N/A,East,Private
28-04-2024,02:10:00,"India Gate, Delhi",32286,Sunny,Sunday,No,Regular Day,23,17,N/A,West,Walking
29-04-2024,13:20:00,"Mecca Masjid, Hyderabad",16399,Rainy,Monday,No,National Holiday,20,17,N/A,East,Walking
30-04-2024,22:01:00,"Varanasi Ghats, Varanasi",7661,Cloudy,Tuesday,No,Regular Day,34,17,N/A,East,Walking
01-05-2024,12:05:00,"Varanasi Ghats, Varanasi",25000,Clear,Wednesday,No,Festival,29,17,N/A,South,Private
02-05-2024,11:35:00,"Red Fort, Delhi",6754,Cloudy,Thursday,No,Regular Day,36,17,N/A,South,Public
03-05-2024,06:17:00,"Varanasi Ghats, Varanasi",7277,Sunny,Friday,No,Regular Day,29,17,N/A,North,Walking
04-05-2024,08:46:00,"Qutub Minar, Delhi",9768,Clear,Saturday,No,Regular Day,33,17,N/A,Central,Walking
05-05-2024,14:10:00,"Taj Mahal, Agra",38907,Sunny,Sunday,No,Festival,32,18,N/A,Central,Public
06-05-2024,14:31:00,"Taj Mahal, Agra",20000,Clear,Monday,No,Regular Day,20,18,N/A,South,Walking
07-05-2024,18:06:00,"India Gate, Delhi",27265,Cloudy,Tuesday,No,Cultural Event,20,18,N/A,East,Public
08-05-2024,16:40:00,"Qutub Minar, Delhi",22611,Clear,Wednesday,Yes,National Holiday,23,18,National Holiday,Central,Private
09-05-2024,09:57:00,"India Gate, Delhi",28232,Cloudy,Thursday,No,Cultural Event,24,18,N/A,East,Public
10-05-2024,23:01:00,"Taj Mahal, Agra",18425,Cloudy,Friday,No,Cultural Event,26,18,N/A,North,Public
11-05-2024,13:12:00,"Taj Mahal, Agra",33680,Sunny,Saturday,No,National Holiday,20,18,N/A,West,Private
12-05-2024,18:30:00,"Sanchi Stupa, Madhya Pradesh",20257,Rainy,Sunday,No,National Holiday,35,19,N/A,North,Walking
13-05-2024,18:21:00,"Qutub Minar, Delhi",24681,Clear,Monday,No,National Holiday,33,19,N/A,North,Private
14-05-2024,09:57:00,"Sanchi Stupa, Madhya Pradesh",500,Cloudy,Tuesday,No,Regular Day,26,19,N/A,East,Public
15-05-2024,16:42:00,"Sanchi Stupa, Madhya Pradesh",8881,Clear,Wednesday,No,Festival,23,19,N/A,North,Private
16-05-2024,16:41:00,"Qutub Minar, Delhi",18076,Sunny,Thursday,No,National Holiday,33,19,N/A,North,Private
17-05-2024,23:58:00,"Sanchi Stupa, Madhya Pradesh",17763,Cloudy,Friday,No,Festival,30,19,N/A,West,Public
18-05-2024,13:29:00,"Qutub Minar, Delhi",11127,Cloudy,Saturday,No,Cultural Event,35,19,N/A,Central,Public
19-05-2024,14:40:00,"Qutub Minar, Delhi",19076,Sunny,Sunday,No,Festival,35,20,N/A,Central,Walking
20-05-2024,04:17:00,"Varanasi Ghats, Varanasi",13933,Rainy,Monday,No,Festival,20,20,N/A,North,Public
21-05-2024,00:46:00,"India Gate, Delhi",28651,Rainy,Tuesday,No,Regular Day,28,20,N/A,West,Walking
22-05-2024,03:17:00,"Varanasi Ghats, Varanasi",28329,Clear,Wednesday,No,National Holiday,24,20,N/A,West,Walking
23-05-2024,20:10:00,"Red Fort, Delhi",9373,Cloudy,Thursday,Yes,Regular Day,28,20,National Holiday,North,Walking
24-05-2024,00:56:00,"Taj Mahal, Agra",27721,Clear,Friday,No,National Holiday,32,20,N/A,South,Public
25-05-2024,09:49:00,"Red Fort, Delhi",10832,Cloudy,Saturday,No,Cultural Event,32,20,N/A,Central,Private
26-05-2024,18:31:00,"India Gate, Delhi",32899,Cloudy,Sunday,No,Cultural Event,25,21,N/A,North,Public
27-05-2024,13:24:00,"Varanasi Ghats, Varanasi",10000,Clear,Monday,No,Cultural Event,32,21,N/A,East,Public
28-05-2024,15:56:00,"Gateway of India, Mumbai",13188,Cloudy,Tuesday,No,Cultural Event,37,21,N/A,South,Public
29-05-2024,05:22:00,"Gateway of India, Mumbai",27926,Clear,Wednesday,No,Festival,27,21,N/A,North,Public
30-05-2024,11:03:00,"Qutub Minar, Delhi",20634,Clear,Thursday,No,National Holiday,38,21,N/A,Central,Walking
31-05-2024,05:18:00,"Qutub Minar, Delhi",10000,Sunny,Friday,No,Cultural Event,29,21,N/A,North,Walking
01-06-2024,14:44:00,"Gateway of India, Mumbai",16530,Sunny,Saturday,No,Cultural Event,39,21,N/A,East,Public
02-06-2024,19:39:00,"India Gate, Delhi",50000,Clear,Sunday,No,Festival,28,22,N/A,West,Private
03-06-2024,12:21:00,"Taj Mahal, Agra",34873,Sunny,Monday,No,National Holiday,26,22,N/A,East,Private
04-06-2024,03:14:00,"Gateway of India, Mumbai",21873,Sunny,Tuesday,No,National Holiday,23,22,N/A,South,Walking
05-06-2024,23:34:00,"Mecca Masjid, Hyderabad",12239,Cloudy,Wednesday,No,Festival,34,22,N/A,South,Walking
06-06-2024,11:07:00,"Sanchi Stupa, Madhya Pradesh",9919,Clear,Thursday,No,National Holiday,26,22,N/A,North,Public
07-06-2024,21:59:00,"Gateway of India, Mumbai",15000,Clear,Friday,No,Regular Day,23,22,N/A,North,Public
08-06-2024,22:41:00,"Taj Mahal, Agra",29810,Clear,Saturday,No,Festival,37,22,N/A,Central,Private
09-06-2024,04:59:00,"Taj Mahal, Agra",21463,Rainy,Sunday,No,Regular Day,30,23,N/A,Central,Walking
10-06-2024,23:23:00,"Gateway of India, Mumbai",23597,Cloudy,Monday,No,Festival,21,23,N/A,South,Private
11-06-2024,21:04:00,"Mecca Masjid, Hyderabad",1368,Rainy,Tuesday,No,Cultural Event,21,23,N/A,South,Public
12-06-2024,13:24:00,"Qutub Minar, Delhi",16320,Rainy,Wednesday,No,Festival,29,23,N/A,South,Public
13-06-2024,05:30:00,"India Gate, Delhi",46386,Clear,Thursday,No,National Holiday,20,23,N/A,South,Public
14-06-2024,12:35:00,"Mecca Masjid, Hyderabad",9918,Clear,Friday,No,Festival,30,23,N/A,North,Private
15-06-2024,10:18:00,"Mecca Masjid, Hyderabad",4646,Sunny,Saturday,No,Regular Day,33,23,N/A,Central,Public
16-06-2024,03:39:00,"India Gate, Delhi",50000,Sunny,Sunday,No,Festival,22,24,N/A,East,Private
17-06-2024,01:52:00,"Varanasi Ghats, Varanasi",11169,Cloudy,Monday,Yes,Cultural Event,32,24,National Holiday,South,Public
18-06-2024,06:48:00,"India Gate, Delhi",36772,Sunny,Tuesday,No,Festival,38,24,N/A,Central,Private
19-06-2024,03:20:00,"Red Fort, Delhi",22749,Clear,Wednesday,No,Festival,35,24,N/A,Central,Private
20-06-2024,17:19:00,"Mecca Masjid, Hyderabad",1981,Rainy,Thursday,No,Cultural Event,23,24,N/A,South,Walking
21-06-2024,04:44:00,"Mecca Masjid, Hyderabad",9081,Sunny,Friday,No,Festival,25,24,N/A,South,Walking
22-06-2024,12:55:00,"Red Fort, Delhi",19359,Rainy,Saturday,No,Festival,27,24,N/A,South,Public
23-06-2024,12:37:00,"Qutub Minar, Delhi",10829,Cloudy,Sunday,No,Regular Day,21,25,N/A,South,Walking
24-06-2024,06:01:00,"Mecca Masjid, Hyderabad",1763,Rainy,Monday,No,Cultural Event,39,25,N/A,West,Private
25-06-2024,22:16:00,"Qutub Minar, Delhi",4906,Rainy,Tuesday,No,Cultural Event,30,25,N/A,West,Public
26-06-2024,20:08:00,"Sanchi Stupa, Madhya Pradesh",500,Rainy,Wednesday,No,Regular Day,26,25,N/A,North,Walking
27-06-2024,13:45:00,"Qutub Minar, Delhi",13557,Rainy,Thursday,No,National Holiday,21,25,N/A,North,Walking
28-06-2024,16:00:00,"Taj Mahal, Agra",18465,Cloudy,Friday,No,Regular Day,22,25,N/A,West,Public
29-06-2024,16:31:00,"Mecca Masjid, Hyderabad",5958,Sunny,Saturday,No,Cultural Event,32,25,N/A,South,Public
30-06-2024,04:39:00,"Sanchi Stupa, Madhya Pradesh",500,Rainy,Sunday,No,Cultural Event,23,26,N/A,South,Walking
01-07-2024,20:32:00,"Qutub Minar, Delhi",10000,Clear,Monday,No,Cultural Event,28,26,N/A,North,Public
02-07-2024,16:47:00,"Qutub Minar, Delhi",24577,Sunny,Tuesday,No,National Holiday,34,26,N/A,East,Walking
03-07-2024,03:59:00,"Mecca Masjid, Hyderabad",19299,Clear,Wednesday,No,National Holiday,31,26,N/A,North,Private
04-07-2024,04:58:00,"Qutub Minar, Delhi",10000,Clear,Thursday,No,Cultural Event,23,26,N/A,East,Walking
05-07-2024,03:51:00,"Red Fort, Delhi",23386,Sunny,Friday,No,National Holiday,37,26,N/A,East,Public
06-07-2024,11:54:00,"India Gate, Delhi",30340,Rainy,Saturday,No,Regular Day,21,26,N/A,South,Walking
07-07-2024,04:49:00,"Qutub Minar, Delhi",29703,Rainy,Sunday,Yes,National Holiday,28,27,National Holiday,North,Private
08-07-2024,05:19:00,"India Gate, Delhi",28656,Cloudy,Monday,No,Cultural Event,20,27,N/A,East,Walking
09-07-2024,10:42:00,"Red Fort, Delhi",18455,Rainy,Tuesday,No,Festival,28,27,N/A,North,Public
10-07-2024,15:56:00,"Qutub Minar, Delhi",10000,Clear,Wednesday,No,Cultural Event,26,27,N/A,East,Public
11-07-2024,16:22:00,"Mecca Masjid, Hyderabad",16345,Sunny,Thursday,No,National Holiday,21,27,N/A,North,Private
12-07-2024,15:47:00,"Red Fort, Delhi",13653,Clear,Friday,No,National Holiday,28,27,N/A,East,Public
13-07-2024,06:45:00,"Red Fort, Delhi",28447,Cloudy,Saturday,No,Festival,31,27,N/A,Central,Walking
14-07-2024,00:44:00,"Mecca Masjid, Hyderabad",5442,Clear,Sunday,No,Cultural Event,30,28,N/A,North,Public
15-07-2024,18:41:00,"Taj Mahal, Agra",18193,Rainy,Monday,No,Cultural Event,30,28,N/A,North,Walking
16-07-2024,10:54:00,"Qutub Minar, Delhi",8042,Cloudy,Tuesday,No,Cultural Event,26,28,N/A,East,Walking
17-07-2024,20:04:00,"Qutub Minar, Delhi",9407,Cloudy,Wednesday,Yes,Regular Day,26,28,National Holiday,East,Public
18-07-2024,09:04:00,"Red Fort, Delhi",5706,Rainy,Thursday,No,Regular Day,39,28,N/A,Central,Private
19-07-2024,04:30:00,"Mecca Masjid, Hyderabad",21788,Sunny,Friday,No,Festival,30,28,N/A,West,Private
20-07-2024,15:15:00,"Gateway of India, Mumbai",36636,Sunny,Saturday,No,National Holiday,23,28,N/A,South,Public
21-07-2024,13:30:00,"Mecca Masjid, Hyderabad",15510,Clear,Sunday,No,National Holiday,30,29,N/A,West,Walking
22-07-2024,07:53:00,"Varanasi Ghats, Varanasi",19108,Sunny,Monday,No,Festival,34,29,N/A,North,Public
23-07-2024,09:38:00,"Qutub Minar, Delhi",28764,Sunny,Tuesday,No,Festival,37,29,N/A,East,Private
24-07-2024,08:42:00,"Qutub Minar, Delhi",28069,Cloudy,Wednesday,No,National Holiday,34,29,N/A,East,Public
25-07-2024,19:47:00,"Varanasi Ghats, Varanasi",7560,Cloudy,Thursday,No,Regular Day,34,29,N/A,East,Public
26-07-2024,01:31:00,"Qutub Minar, Delhi",15266,Rainy,Friday,No,Festival,38,29,N/A,North,Walking
27-07-2024,14:00:00,"Varanasi Ghats, Varanasi",11324,Cloudy,Saturday,No,Regular Day,36,29,N/A,North,Walking
28-07-2024,12:08:00,"Varanasi Ghats, Varanasi",14957,Sunny,Sunday,No,Regular Day,27,30,N/A,East,Public
29-07-2024,13:48:00,"Mecca Masjid, Hyderabad",10989,Rainy,Monday,No,Festival,27,30,N/A,East,Walking
30-07-2024,21:00:00,"Mecca Masjid, Hyderabad",11965,Sunny,Tuesday,No,Festival,28,30,N/A,North,Walking
31-07-2024,08:46:00,"Mecca Masjid, Hyderabad",1447,Rainy,Wednesday,No,Regular Day,25,30,N/A,Central,Private
01-08-2024,02:20:00,"Qutub Minar, Delhi",10000,Sunny,Thursday,No,Regular Day,30,30,N/A,Central,Private
02-08-2024,04:44:00,"Sanchi Stupa, Madhya Pradesh",816,Cloudy,Friday,No,Regular Day,37,30,N/A,South,Walking
03-08-2024,02:01:00,"Red Fort, Delhi",9919,Rainy,Saturday,No,Cultural Event,24,30,N/A,West,Private
04-08-2024,02:39:00,"Red Fort, Delhi",11061,Rainy,Sunday,No,Cultural Event,28,31,N/A,South,Walking
05-08-2024,21:28:00,"Mecca Masjid, Hyderabad",14114,Rainy,Monday,No,Festival,37,31,N/A,North,Walking
06-08-2024,00:47:00,"Taj Mahal, Agra",20000,Sunny,Tuesday,No,Cultural Event,39,31,N/A,Central,Public
07-08-2024,11:35:00,"Varanasi Ghats, Varanasi",8187,Rainy,Wednesday,No,Cultural Event,33,31,N/A,Central,Walking
08-08-2024,16:04:00,"Qutub Minar, Delhi",8213,Rainy,Thursday,No,Regular Day,33,31,N/A,West,Private
